"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","Ramon Velez Recovery Center OTP","52934","Bronx","754 E 151st St","Bronx","NY","10455","3267","Ms. Antoinette Rojas MSW","AnRojas@acacianetwork.org","3473522435","2417","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","Mental Health","","","","","",""
"Riverdale Mental Health Association","18040","5676 Riverdale Avenue","Bronx","Bronx","NY","10471","2191","Riverdale Mental Health Association OP","2016","Bronx","5676 Riverdale Ave","Bronx","NY","10471","2191","Ms. Mayra L Estrada-Cruz LCSW","mestrada@mosaicmh.org","7187965300","159","Outpatient Services","Outpatient Clinic","7187965300","117","Y","","","OMH Hosted","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Bronx Outreach Center OP","52769","Bronx","900 Arnow Ave","Bronx","NY","10469","","Ms. Katelyn McDonagh","Katelyn.McDonagh@samaritanvillage.org","7185189007","","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Independence OCCBHC","53774","Bronx","362 E 148th St","Bronx","NY","10455","","Ms. Arlene G Morales","arlene.morales@samaritanvillage.org","7184029000","","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","7184029000","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Mott Haven OTP","52882","Bronx","362 E 148th St","Bronx","NY","10455","","Saby M Guzman","saby.guzman@samaritanvillage.org","7182924640","299","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc IR  2","3162","Bronx","1381 Dr Martin L King Jr Blvd.","Bronx","NY","10452","4005","Elizabeth Fulton MSW","elizabeth.fulton@samaritanvillage.org","7186319300","","Residential Services","Intensive Residential","7186576195","8744","","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. OTP 2","52883","Bronx","250 Grand Concourse","Bronx","NY","10451","5430","Mrs. Lucy Miroquesada LCSW","Lucy.Miroquesada@samaritanvillage.org","7182924455","2480","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"SCAN-Harbor, Inc.","2035","345 E 102nd St","New York","New York","NY","10029","","SCAN-Harbor, Inc. OP","7422","Bronx","1377 Jerome Ave","Bronx","NY","10452","","Mr. Helio V Dos Santos","hdossantos@scanny.org","7182932230","205","Outpatient Services","Outpatient Clinic","7182932230","205","","","","","","","","","",""
"St. Barnabas Hospital","81630","4422 3rd Ave","Bronx","Bronx","NY","10457","","St. Barnabas Hospital MMD","50717","Bronx","4422 3rd Ave","Bronx","NY","10457","","Ms. Franchesca Reynoso-Marage","fmarage@sbhny.org","7189606590","","Crisis Services","Medical Managed Detoxification","7189606307","","Y","","","","","","","","",""
"St. Barnabas Hospital","81630","4422 3rd Ave","Bronx","Bronx","NY","10457","","St. Barnabas Hospital OP","50718","Bronx","4441-4451 3rd Ave","Bronx","NY","10457","","Ms. Franchesca Reynoso-Marage","fmarage@sbhny.org","7189606590","","Outpatient Services","Outpatient Clinic","7189606170","","Y","","","","","","","","",""
"St. Barnabas Hospital","81630","4422 3rd Ave","Bronx","Bronx","NY","10457","","St. Barnabas Hospital OTP","6962","Bronx","4535 3rd Ave","Bronx","NY","10458","","Ms. Franchesca Reynoso-Marage","fmarage@sbhny.org","7189606590","","Opioid Treatment","Opioid Outpatient Treatment","7189606307","","Y","","","","","","","","",""
"Success Counseling Services, Inc.","29070","139 W 168th St","Bronx","Bronx","NY","10452","3403","Success Counseling Services OP","51788","Bronx","139 W 168th St","Bronx","NY","10452","","Palak Agrawal","pagrawal@sharehcc.com","7185386112","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"T.R.I. Center, Inc.","16350","1369 Broadway","New York","New York","NY","10018","","T.R.I. Center, Inc. OP 1","6134","Bronx","2488 Grand Concourse","Bronx","NY","10458","","Ms. aneta Skrobacz CSW","aneta.skrobacz@tricenter.com","7185847204","","Outpatient Services","Outpatient Clinic","7185847204","","Y","","","","","","","","",""
"The PAC Program of the Bronx, Inc.","47080","213 W 35th St","New York","New York","NY","10001","","The PAC Program of the Bronx, Inc OP","52233","Bronx","1215-1217 Stratford Ave","Bronx","NY","10472","","Mr. Kevin L Ross Psy D","drross@thepacprogram.com","7183282605","","Outpatient Services","Outpatient Clinic","7183282605","","Y","","","","","","213 West 35th Street","New York","10001","New York"
"United Bronx Parents, Inc","330","773 Prospect Ave","Bronx","Bronx","NY","10459","","La Casita III-The Mix IR 1","7258","Bronx","1006 E 151st St","Bronx","NY","10455","3342","Gloria Montalvo","gmontalvo@ubpinc.org","7187420082","","Residential Services","Intensive Residential","","","","","","","Y","","","","",""
"United Bronx Parents, Inc","330","773 Prospect Ave","Bronx","Bronx","NY","10459","","Lorraine Montenegro Women/Children IR","5750","Bronx","773 Prospect Ave","Bronx","NY","10455","1809","Mrs. Seavena Atkinson","satkinson@ubpinc.org","7182929808","","Residential Services","Intensive Residential","","","","","","","Y","","","","",""
"VERTEX, LLC","44120","1080 E Gun Hill Rd","Bronx","Bronx","NY","10469","3742","VERTEX , LLC OP","51992","Bronx","1080 E Gun Hill Rd","Bronx","NY","10469","3742","Mr. Paul Henderson CASAC","phvertex@gmail.com","7186531117","101","Outpatient Services","Outpatient Clinic","","","Y","","","","","","2639 Atlantic Avenue","Brooklyn","11207","Kings"
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services OCCBHC","53773","Bronx","770 E 176th St","Bronx","NY","10460","4617","Ms. Fenesha Blanchard LMSW","fblanchard@vipservices.org","7185835150","8418","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","7185835150","8418","Y","","","Mental Health and Primary Care","","","","","",""
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services RR","53043","Bronx","716 Fairmount Pl","Bronx","NY","10457","","Ms. Susan Thomas CASAC","sthomas@vipservices.org","7187313500","7962","Residential Services","820 Rehab and Reintegration","7185835150","8948","Y","","","","","","","","",""
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services SRR","53042","Bronx","764 E 176th St","Bronx","NY","10460","","Ms. Victoria Robinson","vrobinson@vipservices.org","7185428772","7414","Residential Services","820 Stabil Rehab Reintegration","7185835150","8948","Y","","","","","","","","",""
"Vocational Instruction Proj Commun Srv","325","770 East 176th Street","Bronx","Bronx","NY","10460","","VIP Community Services, Inc. OTP","670","Bronx","770 E 176th St","Bronx","NY","10460","4617","Mrs. Ellen M Hoffman CASAC","Ehoffman@vipservices.org","7185835150","8954","Opioid Treatment","Opioid Outpatient Treatment","7185835150","8948","Y","","","Mental Health and Primary Care","","","","","",""
"Addiction Center of Broome County Inc.","36030","30 W State St","Binghamton","Broome","NY","13901","2332","Addiction Center of Broome County  OP","50396","Broome","30 W State St","Binghamton","NY","13901","","Mr. TJ Fotorny LCSW","cpirich@acbcservices.org","6077237308","121","Outpatient Services","Outpatient Clinic","6077237308","121","Y","","","","","","1182 Chenango Street","Binghamton","13901","Broome"
"Addiction Center of Broome County Inc.","36030","30 W State St","Binghamton","Broome","NY","13901","2332","Addiction Center of Broome County  OP","50396","Broome","30 W State St","Binghamton","NY","13901","","Mr. TJ Fotorny LCSW","cpirich@acbcservices.org","6077237308","121","Outpatient Services","Outpatient Clinic","6077237308","121","Y","","","","","","306 Main Street","Endicott","13760","Broome"
"Addiction Center of Broome County Inc.","36030","30 W State St","Binghamton","Broome","NY","13901","2332","Addiction Center of Broome County  OP","50396","Broome","30 W State St","Binghamton","NY","13901","","Mr. TJ Fotorny LCSW","cpirich@acbcservices.org","6077237308","121","Outpatient Services","Outpatient Clinic","6077237308","121","Y","","","","","","103 Leilanis Lane","Norwich","13815","Chenango"
"Addiction Center of Broome County Inc.","36030","30 W State St","Binghamton","Broome","NY","13901","2332","Addiction Center of Broome County OP R","51980","Broome","30 W State St","Binghamton","NY","13901","","Mr. TJ Fotorny LCSW","cpirich@acbcservices.org","6077237308","121","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Fairview Recovery Services, Inc.","36020","5 Merrick St","Binghamton","Broome","NY","13904","1109","Fairview Men's RRi","53867","Broome","5 Merrick St","Binghamton","NY","13904","","Ms. Hazell McKenzie CASAC","hmckenzie@frsinc.org","6077228987","232","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"Fairview Recovery Services, Inc.","36020","5 Merrick St","Binghamton","Broome","NY","13904","1109","Fairview Recovery Services, Inc. RS","53123","Broome","247 Court St","Binghamton","NY","13901","3602","Ms. Amy Elliott CASAC","aelliott@frsinc.org","6077224080","328","Residential Services","820 Residential Stabilization","","","Y","","","","","","","","",""
"Fairview Recovery Services, Inc.","36020","5 Merrick St","Binghamton","Broome","NY","13904","1109","Fairview Scatter Site Reintgration RRi","53655","Broome","5 Merrick St","Binghamton","NY","13904","","Mr. Edward Lawson CASAC","elawson@frsinc.org","6077228987","233","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"Fairview Recovery Services, Inc.","36020","5 Merrick St","Binghamton","Broome","NY","13904","1109","New Outlook RRi","53869","Broome","8 Clapham St","Binghamton","NY","13904","","Ms. Hazell McKenzie CASAC","hmckenzie@frsinc.org","6077228987","232","Residential Services","820 Residential Reintegration","","","Y","","","","","","","","",""
"Helio Health, Inc.","36090","555 E Genesee St","Syracuse","Onondaga","NY","13202","2118","Helio Health Binghamton Inpt Rehab","53359","Broome","249 Glenwood Rd","Binghamton","NY","13905","1603","Ms. Helena Meyer LCSW","hmeyer@helio.health","6072963072","","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","","","","","","","",""
"Helio Health, Inc.","36090","555 E Genesee St","Syracuse","Onondaga","NY","13202","2118","Helio Health, Inc. MSW-IP","53211","Broome","249 Glenwood Rd","Binghamton","NY","13905","1603","Ms. Helena Meyer LCSW","hmeyer@helio.health","6072963072","","Crisis Services","Med Sup Withdrawal - Inpatient","6072963072","","Y","","","","","","","","",""
"United Health Services Hospitals, Inc.","85330","10-42 Mitchell Avenue","Binghamton","Broome","NY","13903","","New Horizons CD Treatment Center IP","50598","Broome","10-42 Mitchell Ave","Binghamton","NY","13903","1617","Mrs. Cara J Fraser","cara.fraser@nyuhs.org","6077622152","","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","","","","","","","",""
"United Health Services Hospitals, Inc.","85330","10-42 Mitchell Avenue","Binghamton","Broome","NY","13903","","New Horizons Chemical Dep Treatment OP","50599","Broome","10-42 Mitchell Ave","Binghamton","NY","13903","1617","Mrs. Cara J Fraser","cara.fraser@nyuhs.org","6077623216","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"United Health Services Hospitals, Inc.","85330","10-42 Mitchell Avenue","Binghamton","Broome","NY","13903","","United Health Services Hospital OTP","691","Broome","10-42 Mitchell Ave","Binghamton","NY","13903","","Mrs. Cara J Fraser","cara.fraser@nyuhs.org","6077622152","","Opioid Treatment","Opioid Outpatient Treatment","6077622152","","Y","","","","","","","","",""
"CASA-Trinity, Inc.","37130","4612 Millennium Dr","Geneseo","Livingston","NY","14454","1197","CASA-Trinity, Inc. OTP","53873","Cattaraugus","201 S Union St","Olean","NY","14760","","Mr. Keith Woods","kwoods@casa-trinity.org","7163734303","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"CASA-Trinity, Inc.","37130","4612 Millennium Dr","Geneseo","Livingston","NY","14454","1197","CASA-Trinity, Inc.OP 4","53623","Cattaraugus","201 S Union St","Olean","NY","14760","","Mr. Keith Woods","kwoods@casa-trinity.org","7163734303","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","356 Main Street","Randolph","14772","Cattaraugus"
"CASA-Trinity, Inc.","37130","4612 Millennium Dr","Geneseo","Livingston","NY","14454","1197","CASA-Trinity, Inc.OP 4","53623","Cattaraugus","201 S Union St","Olean","NY","14760","","Mr. Keith Woods","kwoods@casa-trinity.org","7163734303","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","4039 Route 219","Salamanca","14779","Cattaraugus"
"CASA-Trinity, Inc.","37130","4612 Millennium Dr","Geneseo","Livingston","NY","14454","1197","CASA-Trinity, Inc.SL","53624","Cattaraugus","207 South Union St","Olean","NY","14760","3635","Ms. Jessica Deritter","jderitter@casa-trinity.org","7163734303","","Residential Services","Supportive Living","","","","","","","","","","","",""
"CASA-Trinity, Inc.","37130","4612 Millennium Dr","Geneseo","Livingston","NY","14454","1197","Weston Manor RRi","53861","Cattaraugus","1351 Olean Portville Rd","Weston Mills","NY","14788","","Ms. Jessica Deritter","jderitter@casa-trinity.org","7163734303","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"CASA-Trinity, Inc.","37130","4612 Millennium Dr","Geneseo","Livingston","NY","14454","1197","Willow House 820 Residential SRR","53621","Cattaraugus","1355 Olean Portville Rd","Weston Mills","NY","14788","","Ms. Chelsey Pierce","cpierce@casa-trinity.org","7163730021","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"Cattaraugus Co Dept of Community Srvcs","70690","1 Leo Moss Drive","Olean","Cattaraugus","NY","14760","1156","Cattaraugus Cnty Dpt of Cmnty Srvcs OP","53668","Cattaraugus","1 Leo Moss Dr","Olean","NY","14760","","Ms. Amy L Mann MED","almann@cattco.org","7163738040","","Outpatient Services","Outpatient Clinic","7163738040","","Y","","","","","","","","",""
"Confidential Help for Alcohol & Drugs","36200","75 Genesee St","Auburn","Cayuga","NY","13021","3644","CHAD OP","50846","Cayuga","75 Genesee St","Auburn","NY","13021","","Ms. Jacqueline A Morrell CASAC","jackieb@chadcounseling.org","3152539786","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Unity House of Cayuga County Inc.","23570","217 Genesee Street Suite 14","Auburn","Cayuga","NY","13021","","Grace House RRi","53667","Cayuga","58 Osborne St","Auburn","NY","13021","","Ms. Dorothy Radcliff","dradcliff@unityhouse.com","3152583998","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Unity House of Cayuga County Inc.","23570","217 Genesee Street Suite 14","Auburn","Cayuga","NY","13021","","Unity House Scatter-Site RRi","53816","Cayuga","58 Osborne St","Auburn","NY","13021","","Ms. Dorothy Radcliff","dradcliff@unityhouse.com","3152583998","250","Residential Services","820 Residential Reintegration","","","","","","","Y","","","","",""
"Brooks-TLC Hospital System, Inc.","49960","529 Central Ave","Dunkirk","Chautauqua","NY","14048","","Brooks-TLC Hospital System, Inc  OP","53215","Chautauqua","33 N Main St","Cassadaga","NY","14718","","Michelle Crandall","mcrandall@tlchealth.org","7165953355","1204","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Chautauqua Co. Dept of Mental Health","70360","2 Academy St","Mayville","Chautauqua","NY","14757","1095","Chautauqua Co Dept of MH OP","50702","Chautauqua","200 E 3rd St","Jamestown","NY","14701","5433","Carol Wright","Wrightc@chqgov.com","7166618330","","Outpatient Services","Outpatient Clinic","7166618330","","Y","","","OMH Hosted","","","","","",""
"Chautauqua Co. Dept of Mental Health","70360","2 Academy St","Mayville","Chautauqua","NY","14757","1095","Chautauqua Co Dept of MH OP1","50703","Chautauqua","60-62 Franklin Ave","Dunkirk","NY","14048","2804","Tamie Coleman","Colemant@chqgov.com","7163633550","","Outpatient Services","Outpatient Clinic","7163633550","","Y","","","OMH Hosted","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","Safe Point Lighthouse OP","53599","Chautauqua","303 Main St","Dunkirk","NY","14048","2718","Mrs. Elizabeth Smith CASAC","esmith@hubwny.org","7163941685","","Outpatient Services","Outpatient Clinic","7164134661","","Y","","","Mental Health","","","","","",""
